# CORE-IF-001 semantic delta ledger
# forge_commit=78fad4069d778996c24ecf5acc5cbe0e1edea7a
# donor_commit=cc2d69425beea2c93a4000e44d49381deba8eed2
# total_rows=1923
# disposition_counts={"Forge only preservation":1422,"adapted later":370,"rejected non scope item":131}
delta_id	donor_commit	donor_path	semantic_change	forge_path	applicability	disposition	requirement_id	phase_id	task_id	regression_id	evidence
DELTA-0186	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/AtmWithdrawalTracker.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0186	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/AtmWithdrawalTracker.java
DELTA-0187	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/CartResponsePolicy.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0187	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/CartResponsePolicy.java
DELTA-0188	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ClientKeyHandler.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0188	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ClientKeyHandler.java
DELTA-0189	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ClientRouteGuard.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0189	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ClientRouteGuard.java
DELTA-0190	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ModKeyMappings.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0190	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ModKeyMappings.java
DELTA-0191	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/PlayerShopResponseTracker.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0191	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/PlayerShopResponseTracker.java
DELTA-0192	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/PlayerSkinResolver.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0192	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/PlayerSkinResolver.java
DELTA-0193	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ServerShopOfferResponseTracker.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0193	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ServerShopOfferResponseTracker.java
DELTA-0194	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ShopClientPacketHandler.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0194	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ShopClientPacketHandler.java
DELTA-0195	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ShopClientState.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0195	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ShopClientState.java
DELTA-0196	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/ShopColors.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0196	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/ShopColors.java
DELTA-0197	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/AdminOfferSaveAcknowledgement.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0197	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/AdminOfferSaveAcknowledgement.java
DELTA-0198	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/AdminOfferSaveResultTracker.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0198	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/AdminOfferSaveResultTracker.java
DELTA-0199	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/OfferEditorControlRegistry.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0199	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/OfferEditorControlRegistry.java
DELTA-0200	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/OfferEditorDraft.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0200	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/OfferEditorDraft.java
DELTA-0201	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/OfferEditorSimpleMode.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0201	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/OfferEditorSimpleMode.java
DELTA-0202	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/OfferEditorStaleReview.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0202	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/OfferEditorStaleReview.java
DELTA-0203	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/editor/OfferEditorTemplates.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0203	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/editor/OfferEditorTemplates.java
DELTA-0204	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketActionFeedback.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0204	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketActionFeedback.java
DELTA-0205	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketBackNavigationPolicy.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0205	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketBackNavigationPolicy.java
DELTA-0206	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketCapabilitiesSnapshot.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0206	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketCapabilitiesSnapshot.java
DELTA-0207	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketCapabilityClientState.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0207	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketCapabilityClientState.java
DELTA-0208	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketCapabilityResponseTracker.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0208	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketCapabilityResponseTracker.java
DELTA-0209	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketCardLayout.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0209	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketCardLayout.java
DELTA-0210	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketClaimCollectionClientState.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0210	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketClaimCollectionClientState.java
DELTA-0211	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketClaimCollectionResponseTracker.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0211	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketClaimCollectionResponseTracker.java
DELTA-0212	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketClientNavigationCoordinator.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0212	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketClientNavigationCoordinator.java
DELTA-0213	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketCompactPager.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0213	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketCompactPager.java
DELTA-0214	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketDetailSelection.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0214	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketDetailSelection.java
DELTA-0215	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketHeaderControls.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0215	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketHeaderControls.java
DELTA-0216	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketLayout.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0216	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketLayout.java
DELTA-0217	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketLayoutEngine.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0217	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketLayoutEngine.java
DELTA-0218	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketLayoutMode.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0218	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketLayoutMode.java
DELTA-0219	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketModule.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0219	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketModule.java
DELTA-0220	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketModuleAvailability.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0220	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketModuleAvailability.java
DELTA-0221	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketModuleCapability.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0221	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketModuleCapability.java
DELTA-0222	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketNavigationState.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0222	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketNavigationState.java
DELTA-0223	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketPendingActionTracker.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0223	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketPendingActionTracker.java
DELTA-0224	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketPriceChartModel.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0224	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketPriceChartModel.java
DELTA-0225	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketProfileMutationClientState.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0225	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketProfileMutationClientState.java
DELTA-0226	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketProfileMutationResponseTracker.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0226	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketProfileMutationResponseTracker.java
DELTA-0227	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketRectangle.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0227	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketRectangle.java
DELTA-0228	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketRequestGate.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0228	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketRequestGate.java
DELTA-0229	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketResponseFamily.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0229	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketResponseFamily.java
DELTA-0230	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketRoute.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0230	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketRoute.java
DELTA-0231	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketSessionPreferences.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0231	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketSessionPreferences.java
DELTA-0232	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketTheme.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0232	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketTheme.java
DELTA-0233	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketThemeColors.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0233	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketThemeColors.java
DELTA-0234	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketThemeResolver.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0234	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketThemeResolver.java
DELTA-0235	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/market/MarketViewport.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0235	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/market/MarketViewport.java
DELTA-0236	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/AdminBulkPreviewScreen.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0236	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/AdminBulkPreviewScreen.java
DELTA-0237	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/AdminItemPickerScreen.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0237	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/AdminItemPickerScreen.java
DELTA-0238	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/AdminItemSearchPolicy.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0238	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/AdminItemSearchPolicy.java
DELTA-0239	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/AdminListingEditModal.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0239	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/AdminListingEditModal.java
DELTA-0240	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/AdminOfferEditorScreen.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0240	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/AdminOfferEditorScreen.java
DELTA-0241	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/AtmScreen.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0241	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/AtmScreen.java
DELTA-0242	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/BarterRecipeEditorScreen.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0242	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/BarterRecipeEditorScreen.java
DELTA-0243	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/BazaarItemBrowserScreen.java	applicable	Forge only preservation	CORE-REQ-013	CORE-PHASE-007	P007-TASK-001	REG-P000-DELTA-0243	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/BazaarItemBrowserScreen.java
DELTA-0244	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/BulkSellConfirmationScreen.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0244	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/BulkSellConfirmationScreen.java
DELTA-0245	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/BulkSellModeScreen.java	applicable	Forge only preservation	CORE-REQ-011	CORE-PHASE-006	P006-TASK-001	REG-P000-DELTA-0245	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/BulkSellModeScreen.java
DELTA-0246	cc2d69425beea2c93a4000e44d49381deba8eed2	none	production preservation	src/main/java/com/enviouse/futureshops/client/screen/CartScreen.java	applicable	Forge only preservation	CORE-REQ-015	CORE-PHASE-008	P008-TASK-001	REG-P000-DELTA-0246	git diff 78fad4069d778996c24ecf5acc5cbe0e1edea7a..cc2d69425beea2c93a4000e44d49381deba8eed2 src/main/java/com/enviouse/futureshops/client/screen/CartScreen.java
